,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LOGRECNO,geometry
0,1,42,101,009400,42101009400,94,Census Tract 94,G5020,S,366717,0,+39.9632709,-075.2322437,10429,"POLYGON ((-8374483.497911551 4860210.393249341, -8374414.816114826 4860199.970404536, -8374378.420324564 4860427.962660078, -8374342.610876802 4860648.885527654, -8374333.079344165 4860708.293318284, -8374325.523496077 4860755.360372045, -8374307.149805514 4860869.368981561, -8374434.480264386 4860890.147882356, -8374514.995698866 4860902.996057741, -8374556.801226296 4860909.961605565, -8374649.983434168 4860924.734843355, -8374677.145381182 4860929.092062864, -8374748.946493254 4860940.566431008, -8374762.273385684 4860942.655718027, -8374775.885839625 4860944.778420972, -8375000.110013633 4860981.815466964, -8375105.957469823 4860998.62003925, -8375215.925988812 4861016.476730189, -8375233.84376172 4860906.119574293, -8375251.643895962 4860795.655306979, -8375268.263939274 4860685.14882965, -8375287.047678879 4860575.159095458, -8375298.904748906 4860498.528658313, -8375304.752341041 4860464.552815149, -8375308.813026554 4860436.663754463, -8375323.470979426 4860346.2501772, -8375107.62957202 4860311.42210933, -8375026.592154581 4860297.61934991, -8374961.112119519 4860287.426005038, -8374883.646552932 4860274.35580357, -8374774.187301253 4860256.064563807, -8374697.739579475 4860244.000076182, -8374654.878637632 4860237.509468829, -8374593.105385766 4860227.925513621, -8374541.636502561 4860219.655063205, -8374483.497911551 4860210.393249341))"
1,2,42,101,009500,42101009500,95,Census Tract 95,G5020,S,319070,0,+39.9658709,-075.2379140,10430,"POLYGON ((-8375161.875129321 4861368.604494301, -8375172.138253442 4861441.559250083, -8375180.32988295 4861499.645860637, -8375188.851855053 4861558.162869646, -8375199.890664081 4861633.888184049, -8375268.263688761 4861623.873020215, -8375320.31677288 4861616.529203682, -8375395.508104514 4861605.594436238, -8375488.253255791 4861592.059072065, -8375572.490876577 4861579.639444686, -8375582.343467996 4861569.515885078, -8375582.072618579 4861549.267068562, -8375620.714817898 4861308.708599862, -8375655.772257004 4861087.867786352, -8375671.122883564 4860988.145328161, -8375680.632396417 4860930.880586943, -8375691.015466844 4860866.800496467, -8375726.454279966 4860646.231596854, -8375763.517919613 4860417.291901779, -8375681.273908311 4860404.265460394, -8375617.17998373 4860393.196857061, -8375543.441906509 4860381.718449802, -8375323.470979426 4860346.2501772, -8375308.813026554 4860436.663754463, -8375304.752341041 4860464.552815149, -8375298.904748906 4860498.528658313, -8375287.047678879 4860575.159095458, -8375268.263939274 4860685.14882965, -8375251.643895962 4860795.655306979, -8375233.84376172 4860906.119574293, -8375215.925988812 4861016.476730189, -8375188.769937266 4861183.853269716, -8375180.299323859 4861237.232947905, -8375161.352301313 4861359.377490424, -8375161.875129321 4861368.604494301))"
2,3,42,101,009600,42101009600,96,Census Tract 96,G5020,S,405273,0,+39.9655396,-075.2435075,10431,"POLYGON ((-8376060.06788306 4860464.9032856, -8376055.804078284 4860464.255966065, -8375983.236929296 4860452.543319269, -8375900.765300817 4860439.522539984, -8375835.195124008 4860428.682932372, -8375763.517919613 4860417.291901779, -8375726.454279966 4860646.231596854, -8375691.015466844 4860866.800496467, -8375680.632396417 4860930.880586943, -8375671.122883564 4860988.145328161, -8375655.772257004 4861087.867786352, -8375620.714817898 4861308.708599862, -8375730.430002369 4861326.187587008, -8375840.432089417 4861344.015509919, -8375915.182772087 4861356.154599709, -8375985.425553431 4861367.2771787, -8376060.377037046 4861379.282835945, -8376170.275945107 4861397.220778777, -8376288.040729289 4861416.078546545, -8376405.928378238 4861435.123730877, -8376441.060979105 4861214.591391412, -8376459.164289765 4861101.784601822, -8376476.754613051 4860993.536870582, -8376509.719472787 4860787.397622832, -8376509.511062296 4860779.248697169, -8376507.725411247 4860770.330968274, -8376502.510921331 4860763.203736586, -8376492.358982227 4860757.853110172, -8376481.237923978 4860755.775869228, -8376470.261288453 4860756.343768317, -8376458.340214463 4860759.30570809, -8376442.720393728 4860761.282048722, -8376394.00488839 4860753.727129222, -8376422.797188162 4860573.896795575, -8376430.542350393 4860525.521759821, -8376345.424459567 4860511.721394345, -8376280.353659065 4860501.061330661, -8376203.074609208 4860488.613484477, -8376127.50981728 4860476.047307008, -8376060.06788306 4860464.9032856))"
3,4,42,101,013800,42101013800,138,Census Tract 138,G5020,S,341256,0,+39.9764504,-075.1771771,10468,"POLYGON ((-8368265.478238878 4862715.709086703, -8368315.546770655 4862723.455817869, -8368409.909801908 4862738.05495265, -8368401.952894766 4862791.801945059, -8368393.717396717 4862840.569400845, -8368391.748023101 4862851.442895753, -8368386.412474341 4862880.900713561, -8368384.900880188 4862889.246643801, -8368375.53697913 4862947.646013412, -8368553.147082187 4862975.608861786, -8368641.177981581 4862989.544911436, -8368730.690942198 4863004.951325632, -8368818.626518166 4863019.870220031, -8368907.558389094 4863035.981638036, -8368941.945026744 4862827.990600911, -8368974.965731917 4862629.292612377, -8368978.492301002 4862607.793037893, -8369005.172207794 4862444.560894361, -8369013.905241318 4862399.036621694, -8369021.562401861 4862344.977508442, -8369039.778253834 4862243.230101383, -8369048.03619238 4862190.663119306, -8369058.943261426 4862131.412177172, -8369066.02403859 4862087.29237532, -8369073.050941986 4862044.228579734, -8369080.750045009 4861997.747947783, -8369035.328103413 4861989.976606349, -8368992.836689235 4861983.338140034, -8368942.69650003 4861974.671208348, -8368904.113284603 4861968.912774667, -8368841.186606075 4861958.879835432, -8368788.945811369 4861949.566850566, -8368761.61987194 4861945.275487013, -8368761.723479575 4862141.728779633, -8368760.477102806 4862202.082585971, -8368679.308891246 4862213.601655029, -8368600.952674231 4862224.63433071, -8368547.178265876 4862231.816029914, -8368493.759585856 4862239.22970393, -8368307.825420544 4862264.539012268, -8368297.397932539 4862325.219095198, -8368285.137243208 4862396.338825019, -8368275.55671167 4862452.989246406, -8368266.4082303 4862509.371627876, -8368258.921000339 4862560.057924148, -8368251.296638224 4862609.561672383, -8368243.716394573 4862657.482670182, -8368234.500511223 4862710.916046721, -8368265.478238878 4862715.709086703))"
4,5,42,101,013900,42101013900,139,Census Tract 139,G5020,S,562934,0,+39.9750563,-075.1711846,10469,"POLYGON ((-8368234.500511223 4862710.916046721, -8368243.716394573 4862657.482670182, -8368251.296638224 4862609.561672383, -8368258.921000339 4862560.057924148, -8368266.4082303 4862509.371627876, -8368275.55671167 4862452.989246406, -8368285.137243208 4862396.338825019, -8368297.397932539 4862325.219095198, -8368307.825420544 4862264.539012268, -8368493.759585856 4862239.22970393, -8368547.178265876 4862231.816029914, -8368600.952674231 4862224.63433071, -8368679.308891246 4862213.601655029, -8368760.477102806 4862202.082585971, -8368761.723479575 4862141.728779633, -8368761.61987194 4861945.275487013, -8368725.528447234 4861939.105642169, -8368668.770602488 4861929.950312207, -8368614.671422035 4861920.68504338, -8368548.473175538 4861909.300687898, -8368483.936652176 4861898.348152367, -8368436.753310792 4861890.397263536, -8368372.509978345 4861880.641237068, -8368258.342350304 4861860.572588745, -8368182.365896652 4861849.911637259, -8368108.17921435 4861836.875033853, -8368033.043205242 4861824.786526843, -8367947.76496538 4861813.117044003, -8367805.553000786 4861789.335736541, -8367763.155039486 4861781.841959379, -8367716.830450286 4861775.27203515, -8367630.724819848 4861761.076292438, -8367623.590319964 4861806.789584883, -8367616.176583867 4861846.675085195, -8367610.48117417 4861881.368301585, -8367599.365501001 4861947.164484943, -8367576.868879051 4862078.576660682, -8367567.608269278 4862137.560659696, -8367557.139598046 4862199.827420184, -8367547.830384514 4862254.437195284, -8367544.539502212 4862272.863177858, -8367541.286776425 4862293.719276738, -8367535.064083314 4862331.726689343, -8367526.458617697 4862385.0669178, -8367517.741516031 4862438.436869683, -8367513.905425049 4862457.735762375, -8367503.857170333 4862516.426323773, -8367492.637880739 4862584.08652401, -8367459.002980049 4862791.970433364, -8367522.801822742 4862801.795405135, -8367569.836909905 4862810.225244296, -8367633.420583278 4862819.419094773, -8367842.138977692 4862856.436967268, -8367918.440321565 4862869.935739461, -8367953.154532546 4862874.817062114, -8368021.495075589 4862885.511071183, -8368079.682530866 4862895.308889139, -8368198.123266688 4862915.758307402, -8368375.53697913 4862947.646013412, -8368384.900880188 4862889.246643801, -8368386.412474341 4862880.900713561, -8368391.748023101 4862851.442895753, -8368393.717396717 4862840.569400845, -8368401.952894766 4862791.801945059, -8368409.909801908 4862738.05495265, -8368315.546770655 4862723.455817869, -8368265.478238878 4862715.709086703, -8368234.500511223 4862710.916046721))"
5,6,42,101,014000,42101014000,140,Census Tract 140,G5020,S,439802,0,+39.9735358,-075.1630966,10470,"POLYGON ((-8366929.477716548 4861647.296093501, -8366835.54449222 4861631.500629899, -8366756.807666386 4861617.082814607, -8366740.095733732 4861614.393019208, -8366711.011677141 4861798.162700037, -8366688.260003502 4861931.365260042, -8366668.229325177 4862050.603072781, -8366637.682267218 4862236.190760587, -8366609.151365325 4862434.884421607, -8366713.63109969 4862453.836813277, -8366793.479488141 4862467.509294809, -8366880.349439605 4862480.465500647, -8366968.074611339 4862494.791120241, -8367054.792172318 4862511.039429571, -8367143.364667773 4862525.143547051, -8367230.325107577 4862539.854437215, -8367317.371522286 4862553.744462807, -8367405.663395208 4862568.871492817, -8367492.637880739 4862584.08652401, -8367503.857170333 4862516.426323773, -8367513.905425049 4862457.735762375, -8367517.741516031 4862438.436869683, -8367526.458617697 4862385.0669178, -8367535.064083314 4862331.726689343, -8367541.286776425 4862293.719276738, -8367544.539502212 4862272.863177858, -8367547.830384514 4862254.437195284, -8367557.139598046 4862199.827420184, -8367567.608269278 4862137.560659696, -8367576.868879051 4862078.576660682, -8367599.365501001 4861947.164484943, -8367610.48117417 4861881.368301585, -8367616.176583867 4861846.675085195, -8367623.590319964 4861806.789584883, -8367630.724819848 4861761.076292438, -8367531.508189335 4861744.32524926, -8367522.63232352 4861742.582850048, -8367439.573411667 4861728.814845235, -8367364.379944581 4861717.28172069, -8367280.203612199 4861703.700332846, -8367104.998538655 4861675.558258533, -8366929.477716548 4861647.296093501))"
6,7,42,101,014100,42101014100,141,Census Tract 141,G5020,S,562132,0,+39.9708771,-075.1524555,10471,"POLYGON ((-8366459.58861321 4861524.114544677, -8366337.337056967 4861484.84489242, -8366166.393375862 4861429.845110955, -8365996.02965106 4861374.316072138, -8365882.647095924 4861337.843516083, -8365827.043738771 4861321.083900345, -8365818.539369274 4861318.879322499, -8365768.305633829 4861305.857435887, -8365717.33140252 4861290.375392401, -8365610.782737691 4861255.688116754, -8365514.128027718 4861224.331038482, -8365427.327549123 4861196.536462056, -8365342.429107544 4861167.709285389, -8365297.395356625 4861482.329295405, -8365275.29521319 4861640.326396696, -8365250.279024289 4861812.266115622, -8365223.930418618 4861996.611334755, -8365310.974272944 4862011.473763552, -8365399.403862404 4862026.470676361, -8365479.921697698 4862040.070636548, -8365534.040933527 4862049.422578689, -8365588.828258458 4862058.023741253, -8365695.205254461 4862076.408961873, -8365703.055565499 4862077.701971174, -8365755.286095547 4862086.30503263, -8365798.911453105 4862094.036278784, -8365873.285395285 4862106.339121644, -8365885.157691302 4862036.099760132, -8365903.542444598 4861921.82715782, -8366078.872226184 4861951.765638305, -8366133.984901138 4861960.816829708, -8366151.560604623 4861963.946035057, -8366254.537319475 4861980.8641296, -8366356.833376801 4861998.533415243, -8366427.390409048 4862010.21388639, -8366396.520933663 4862194.901595223, -8366621.971275465 4862232.414460826, -8366637.682267218 4862236.190760587, -8366668.229325177 4862050.603072781, -8366688.260003502 4861931.365260042, -8366711.011677141 4861798.162700037, -8366740.095733732 4861614.393019208, -8366651.395178484 4861585.929599488, -8366508.247828146 4861539.744250434, -8366459.58861321 4861524.114544677))"
7,8,42,101,014200,42101014200,142,Census Tract 142,G5020,S,789935,277434,+39.9652375,-075.1359612,10472,"POLYGON ((-8363801.227751576 4860279.582977401, -8363526.785222557 4860015.369659263, -8363488.667310223 4860073.774555336, -8363414.662517735 4860163.983883576, -8363332.005672289 4860235.452379348, -8363185.833349385 4860353.545418457, -8362993.521033404 4860481.831881314, -8363288.648511658 4861146.065897183, -8363379.657887738 4861096.709034808, -8363407.814712015 4861088.699094693, -8363545.838652575 4861017.349039719, -8363632.078092359 4860972.767326131, -8363645.380448401 4860965.548892891, -8363844.163540794 4860863.400363064, -8363917.629938592 4860782.958648924, -8363925.081261148 4860825.153041656, -8363925.02264763 4860907.732264537, -8363924.509772765 4861017.743016264, -8363925.301284512 4861109.195328888, -8363925.53678065 4861136.403857518, -8363925.673431914 4861152.185887058, -8363925.935697485 4861235.701982459, -8363926.593239598 4861409.564691887, -8364006.114517875 4861394.456543591, -8364029.693673451 4861400.058246419, -8364072.375016078 4861410.103908889, -8364126.460648795 4861422.615085457, -8364189.566630261 4861438.304169165, -8364240.99795111 4861450.64608167, -8364297.881217322 4861464.25506269, -8364324.768860154 4861471.50078748, -8364379.565330413 4861485.002310432, -8364389.823848613 4861487.745296555, -8364435.281653663 4861498.81720845, -8364499.9383384 4861514.592698533, -8364620.948351657 4861534.568352704, -8364715.737767685 4861549.927895037, -8364810.639867846 4861565.587227402, -8364891.30876585 4861578.465066748, -8364946.38991793 4861586.731136144, -8364999.278453846 4861595.335286479, -8365105.340400498 4861612.839243238, -8365199.181282737 4861628.672316016, -8365275.29521319 4861640.326396696, -8365297.395356625 4861482.329295405, -8365342.429107544 4861167.709285389, -8365287.900007586 4861136.067362412, -8365270.843714833 4861126.310253987, -8365221.44227401 4861095.10780192, -8365202.553399802 4861083.511803281, -8365187.693390277 4861075.634406498, -8365092.876492707 4861017.925327227, -8365057.282931497 4860995.974457548, -8364992.296061349 4860956.112632204, -8364922.719066987 4860913.96953831, -8364828.335993405 4860856.682787044, -8364728.340732446 4860796.738048705, -8364625.373238689 4860733.699094874, -8364539.161543508 4860681.133109077, -8364519.450373496 4860668.720351608, -8364472.895232078 4860641.019130207, -8364462.131707789 4860630.766062416, -8364447.103653053 4860616.387302443, -8364416.156757312 4860586.903854799, -8364372.53375563 4860580.438800461, -8364333.324754266 4860559.111633268, -8364231.793760067 4860542.148161052, -8364185.716219108 4860534.410134205, -8364134.465018238 4860488.670780347, -8364068.343867378 4860429.900648354, -8364022.004432334 4860481.835483039, -8363801.227751576 4860279.582977401))"
8,9,42,101,014300,42101014300,143,Census Tract 143,G5020,S,570015,282808,+39.9671225,-075.1265617,10473,"POLYGON ((-8362442.368095329 4861377.035433564, -8362570.207416302 4861595.620431799, -8362566.471553803 4861609.874334052, -8362565.278925049 4861615.628341758, -8362550.254070993 4861658.145496245, -8362542.092675746 4861677.853392686, -8362534.522862897 4861690.49059554, -8362532.407855624 4861694.267245044, -8362521.387133361 4861719.251083231, -8362480.172771929 4861772.730726835, -8362455.073278901 4861801.25677868, -8362346.13049752 4861931.841175724, -8362277.91426826 4862013.607121003, -8362327.18747581 4862054.13088547, -8362331.42939896 4862057.030260025, -8362346.61117852 4862067.407116532, -8362365.574014621 4862076.743936217, -8362396.44885104 4862081.322602129, -8362420.833704518 4862078.878521432, -8362436.752994375 4862074.960937084, -8362487.768731955 4862051.1654244, -8362522.414348588 4862035.35504172, -8362529.955612485 4862032.01267211, -8362655.415904361 4861976.066166536, -8362698.241611582 4861957.426672515, -8362710.393645386 4861951.613034284, -8362708.789974029 4861970.131203186, -8362718.596727801 4861965.712073131, -8362793.321672892 4861933.722198926, -8362856.716342443 4861896.700093296, -8362918.90415171 4861868.852072735, -8362977.131584466 4861841.499135675, -8363060.640996636 4861804.30306494, -8363111.068443659 4861781.246854453, -8363179.442589112 4861742.070560171, -8363258.502929146 4861708.505280899, -8363370.527205899 4861664.03132442, -8363484.031507021 4861612.512203473, -8363557.059065172 4861578.91214593, -8363631.462771892 4861545.310372012, -8363718.00622203 4861505.287114349, -8363778.999331729 4861478.949535416, -8363786.875085582 4861475.003997028, -8363845.402495903 4861448.974353886, -8363926.593239598 4861409.564691887, -8363925.935697485 4861235.701982459, -8363925.673431914 4861152.185887058, -8363925.53678065 4861136.403857518, -8363925.301284512 4861109.195328888, -8363924.509772765 4861017.743016264, -8363925.02264763 4860907.732264537, -8363925.081261148 4860825.153041656, -8363917.629938592 4860782.958648924, -8363844.163540794 4860863.400363064, -8363645.380448401 4860965.548892891, -8363632.078092359 4860972.767326131, -8363545.838652575 4861017.349039719, -8363407.814712015 4861088.699094693, -8363379.657887738 4861096.709034808, -8363288.648511658 4861146.065897183, -8362993.521033404 4860481.831881314, -8362695.163519748 4860680.847534386, -8362258.923380068 4860956.622488225, -8362220.252945118 4860978.587135857, -8362442.368095329 4861377.035433564))"
9,10,42,101,014400,42101014400,144,Census Tract 144,G5020,S,609439,0,+39.9722286,-075.1400952,10474,"POLYGON ((-8364072.375016078 4861410.103908889, -8364029.693673451 4861400.058246419, -8364006.114517875 4861394.456543591, -8363926.593239598 4861409.564691887, -8363927.260200219 4861614.839415807, -8363927.462764255 4861638.191642129, -8363925.643513144 4861720.38352214, -8363924.274236162 4861830.792156733, -8363923.456598887 4861919.415127866, -8363885.475512801 4862005.899590949, -8363852.976479514 4862077.881088258, -8363819.038886823 4862155.608184794, -8363809.135477778 4862179.171045476, -8363815.346071909 4862183.041299953, -8363883.166396261 4862195.420690942, -8363931.799071695 4862203.163388616, -8363940.761644561 4862203.332841159, -8363949.102772873 4862203.497022405, -8363998.104143514 4862211.745891251, -8364056.457256989 4862221.443976798, -8364170.979852061 4862240.380132394, -8364253.548747282 4862253.971712668, -8364308.235903027 4862263.073428615, -8364372.586483365 4862273.664412295, -8364438.138711018 4862284.480050724, -8364515.159026239 4862296.404238975, -8364592.109856502 4862309.31710085, -8364656.617309623 4862320.536803222, -8364685.608193181 4862325.226885769, -8364766.702526416 4862338.953447938, -8364791.480031691 4862342.111231445, -8364869.557355632 4862355.663849854, -8364918.705827957 4862363.546332357, -8364974.778052664 4862372.357574144, -8365071.65775706 4862388.480438051, -8365165.7595264 4862404.151115637, -8365195.350228863 4862197.066843494, -8365223.930418618 4861996.611334755, -8365250.279024289 4861812.266115622, -8365275.29521319 4861640.326396696, -8365199.181282737 4861628.672316016, -8365105.340400498 4861612.839243238, -8364999.278453846 4861595.335286479, -8364946.38991793 4861586.731136144, -8364891.30876585 4861578.465066748, -8364810.639867846 4861565.587227402, -8364715.737767685 4861549.927895037, -8364620.948351657 4861534.568352704, -8364499.9383384 4861514.592698533, -8364435.281653663 4861498.81720845, -8364389.823848613 4861487.745296555, -8364379.565330413 4861485.002310432, -8364324.768860154 4861471.50078748, -8364297.881217322 4861464.25506269, -8364240.99795111 4861450.64608167, -8364189.566630261 4861438.304169165, -8364126.460648795 4861422.615085457, -8364072.375016078 4861410.103908889))"
