,geometry,cartodb_id,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour_,dc_key,location_block,ucr_general,text_general_code,point_x,point_y
0,POINT (-75.133622 40.019047),119,94,25,2,2019-07-22T00:30:00Z,2019-07-22,00:30:00,0,201925059777,400 BLOCK CASKEY ST,400,Aggravated Assault No Firearm,-75.13362183,40.01904662
1,POINT (-75.230706 39.883881),239,238,77,A,2019-03-16T20:07:00Z,2019-03-16,20:07:00,20,201977001360,0 BLOCK PIA WAY,400,Aggravated Assault No Firearm,-75.23070645,39.88388114
2,POINT (-75.230706 39.883881),242,241,77,A,2019-04-12T20:02:00Z,2019-04-12,20:02:00,20,201977001901,0 BLOCK PIA WAY,400,Aggravated Assault No Firearm,-75.23070645,39.88388114
3,POINT (-75.144097 40.002124),626,758,25,4,2019-10-10T11:52:00Z,2019-10-10,11:52:00,11,201925081858,700 BLOCK W ALLEGHENY AVE,400,Aggravated Assault No Firearm,-75.14409686,40.0021239
4,POINT (-75.144097 40.002124),627,759,25,4,2019-10-10T11:52:00Z,2019-10-10,11:52:00,11,201925081859,700 BLOCK W ALLEGHENY AVE,400,Aggravated Assault No Firearm,-75.14409686,40.0021239
5,POINT (-75.10319200000001 40.025184),861,809,15,1,2019-11-07T12:32:00Z,2019-11-07,12:32:00,12,201915115334,4600 BLOCK E ROOSEVELT BLVD,400,Aggravated Assault No Firearm,-75.10319215,40.02518448
6,POINT (-75.10319200000001 40.025184),866,814,15,1,2019-06-17T00:47:00Z,2019-06-17,00:47:00,0,201915060351,4600 BLOCK E ROOSEVELT BLVD,400,Aggravated Assault No Firearm,-75.10319215,40.02518448
7,POINT (-75.10319200000001 40.025184),919,867,15,1,2019-06-26T11:16:00Z,2019-06-26,11:16:00,11,201915063865,4600 BLOCK E ROOSEVELT BLVD,400,Aggravated Assault No Firearm,-75.10319215,40.02518448
8,POINT (-75.143587 40.044345),1119,957,35,3,2019-10-29T04:57:00Z,2019-10-29,04:57:00,4,201935098738,5900 BLOCK N BROAD ST,400,Aggravated Assault No Firearm,-75.14358678,40.04434503
9,POINT (-75.143587 40.044345),1120,958,35,3,2019-10-29T04:58:00Z,2019-10-29,04:58:00,4,201935098739,5900 BLOCK N BROAD ST,400,Aggravated Assault No Firearm,-75.14358678,40.04434503
10,POINT (-75.143587 40.044345),1126,964,35,3,2019-07-21T04:36:00Z,2019-07-21,04:36:00,4,201935066342,5900 BLOCK N BROAD ST,400,Aggravated Assault No Firearm,-75.14358678,40.04434503
11,POINT (-75.236805 39.978492),1299,1246,19,3,2019-01-27T20:10:00Z,2019-01-27,20:10:00,20,201919008018,5700 BLOCK DUNLAP ST,400,Aggravated Assault No Firearm,-75.23680547,39.97849239
12,POINT (-75.162449 39.954035),1470,1470,6,2,2019-09-30T00:09:00Z,2019-09-30,00:09:00,0,201906050176,1300 BLOCK ARCH ST,400,Aggravated Assault No Firearm,-75.16244935,39.9540353
13,POINT (-75.146716 40.003577),1489,1489,25,4,2019-04-24T23:33:00Z,2019-04-24,23:33:00,23,201925032106,3300 BLOCK GOODMAN ST,400,Aggravated Assault No Firearm,-75.14671628,40.00357742
14,POINT (-75.14239600000001 39.940098),1829,1826,3,1,2019-09-29T02:30:00Z,2019-09-29,02:30:00,2,201903070735,500 BLOCK S CHRISTOPHER COLUMBUS BLVD,400,Aggravated Assault Firearm,-75.14239554,39.94009757
15,POINT (-75.14239600000001 39.940098),1830,1827,3,1,2019-09-29T03:12:00Z,2019-09-29,03:12:00,3,201903070736,500 BLOCK S CHRISTOPHER COLUMBUS BLVD,400,Aggravated Assault Firearm,-75.14239554,39.94009757
16,POINT (-75.114734 40.045434),1964,2093,35,1,2019-10-10T05:00:00Z,2019-10-10,05:00:00,5,201935092732,100 BLOCK E GODFREY AVE,400,Aggravated Assault No Firearm,-75.11473422,40.04543368
17,POINT (-75.114734 40.045434),1968,2097,35,1,2019-12-10T10:42:00Z,2019-12-10,10:42:00,10,201935111084,100 BLOCK E GODFREY AVE F104,400,Aggravated Assault No Firearm,-75.11473422,40.04543368
18,POINT (-75.114734 40.045434),1998,2127,35,1,2019-07-07T21:27:00Z,2019-07-07,21:27:00,21,201935061373,100 BLOCK E GODFREY AVE,400,Aggravated Assault No Firearm,-75.11473422,40.04543368
19,POINT (-75.114734 40.045434),2000,2129,35,1,2019-08-16T21:26:00Z,2019-08-16,21:26:00,21,201935075490,100 BLOCK E GODFREY AVE,400,Aggravated Assault No Firearm,-75.11473422,40.04543368
20,POINT (-75.15910599999999 39.95577),2253,2251,6,2,2019-06-22T18:27:00Z,2019-06-22,18:27:00,18,201906029945,1200 BLOCK RACE ST,400,Aggravated Assault No Firearm,-75.15910642,39.95576968
21,POINT (-75.114734 40.045434),2296,2136,35,1,2019-06-12T19:37:00Z,2019-06-12,19:37:00,19,201935052685,100 BLOCK E GODFREY AVE,400,Aggravated Assault No Firearm,-75.11473422,40.04543368
22,POINT (-75.120226 40.011954),3123,2964,25,2,2019-05-21T14:18:00Z,2019-05-21,14:18:00,14,201925040010,4100 BLOCK WHITAKER AVE,400,Aggravated Assault Firearm,-75.12022603,40.01195419
23,POINT (-75.11843 40.030274),3244,5988,35,2,2019-10-11T11:29:00Z,2019-10-11,11:29:00,11,201935093125,5300 BLOCK RISING SUN AVE,400,Aggravated Assault No Firearm,-75.1184295,40.03027352
24,POINT (-75.135167 39.991466),3695,6098,25,3,2019-06-01T04:14:00Z,2019-06-01,04:14:00,4,201925043730,200 BLOCK W LEHIGH AVE,400,Aggravated Assault Firearm,-75.13516678,39.99146636
25,POINT (-75.135167 39.991466),3696,6099,25,3,2019-06-01T04:15:00Z,2019-06-01,04:15:00,4,201925043732,200 BLOCK W LEHIGH AVE,400,Aggravated Assault Firearm,-75.13516678,39.99146636
26,POINT (-75.14057 40.060429),4193,5378,35,1,2019-11-18T20:58:00Z,2019-11-18,20:58:00,20,201935104813,7000 BLOCK N BROAD ST,400,Aggravated Assault No Firearm,-75.14056994,40.06042851
27,POINT (-75.122242 40.009055),4408,5427,25,2,2019-08-19T13:50:00Z,2019-08-19,13:50:00,13,201925067635,3900 BLOCK WHITAKER AVE,400,Aggravated Assault No Firearm,-75.12224185,40.00905494
28,POINT (-75.122242 40.009055),4440,5877,25,2,2019-01-02T03:32:00Z,2019-01-02,03:32:00,3,201925000232,3900 BLOCK WHITAKER AVE,400,Aggravated Assault No Firearm,-75.12224185,40.00905494
29,POINT (-75.176581 39.932786),4874,3838,17,3,2019-03-01T18:30:00Z,2019-03-01,18:30:00,18,201917008209,1900 BLOCK DICKINSON ST,400,Aggravated Assault No Firearm,-75.17658083,39.93278594
30,POINT (-75.10715500000001 39.985425),4935,4700,24,3,2019-09-03T19:19:00Z,2019-09-03,19:19:00,19,201924086722,3100 BLOCK MILLER ST,400,Aggravated Assault Firearm,-75.10715462,39.98542542
31,POINT (-75.151312 40.009283),5031,4716,39,2,2019-12-19T02:03:00Z,2019-12-19,02:03:00,2,201939107991,1400 BLOCK W ERIE AVE,400,Aggravated Assault No Firearm,-75.15131155,40.00928285
32,POINT (-75.14152199999999 40.053915),5986,3266,35,1,2019-08-25T21:37:00Z,2019-08-25,21:37:00,21,201935078277,6600 BLOCK N BROAD ST,400,Aggravated Assault No Firearm,-75.14152177,40.05391522
33,POINT (-75.162064 39.950416),6071,4566,6,3,2019-09-20T16:16:00Z,2019-09-20,16:16:00,16,201906048136,1300 BLOCK CHESTNUT ST,400,Aggravated Assault No Firearm,-75.16206414,39.95041574
34,POINT (-74.95977999999999 40.095412),6092,3292,8,3,2019-07-05T21:36:00Z,2019-07-05,21:36:00,21,201908023775,1900 BLOCK FRANKLIN MILLS CIR,400,Aggravated Assault No Firearm,-74.95978042,40.09541179
35,POINT (-75.241348 39.950626),6209,3329,18,1,2019-09-08T16:53:00Z,2019-09-08,16:53:00,16,201918081491,700 BLOCK S 59TH ST,400,Aggravated Assault No Firearm,-75.24134786,39.95062619
36,POINT (-75.229348 39.928752),6608,8506,12,3,2019-12-29T05:32:00Z,2019-12-29,05:32:00,5,201912110306,6100 BLOCK WOODLAND AVE,400,Aggravated Assault No Firearm,-75.2293477,39.92875219
37,POINT (-75.131455 39.990984),6956,9005,25,4,2019-08-30T20:50:00Z,2019-08-30,20:50:00,20,201925070750,2700 BLOCK N HOPE ST,400,Aggravated Assault Firearm,-75.13145484,39.99098403
38,POINT (-75.049285 40.021899),6958,9370,15,2,2019-02-03T14:21:00Z,2019-02-03,14:21:00,14,201915010032,6500 BLOCK VANDIKE ST,400,Aggravated Assault No Firearm,-75.04928468,40.02189859
39,POINT (-75.17218800000001 39.985843),6963,9375,22,2,2019-05-12T11:35:00Z,2019-05-12,11:35:00,11,201922039284,2000 BLOCK JUDSON ST,400,Aggravated Assault No Firearm,-75.17218799,39.98584265
40,POINT (-75.174195 39.905435),7331,8679,1,2,2019-09-16T14:50:00Z,2019-09-16,14:50:00,14,201901045089,1400 BLOCK PATTISON AVE,400,Aggravated Assault No Firearm,-75.17419525,39.90543545
41,POINT (-75.118589 40.019189),7404,8284,25,2,2019-11-19T09:09:00Z,2019-11-19,09:09:00,9,201925093995,400 BLOCK E COURTLAND ST,400,Aggravated Assault No Firearm,-75.1185887,40.0191889
42,POINT (-75.22792699999999 39.934178),7421,8301,12,3,2019-08-16T23:34:00Z,2019-08-16,23:34:00,23,201912070230,5800 BLOCK KINGSESSING AVE,400,Aggravated Assault No Firearm,-75.227927,39.93417766
43,POINT (-75.113356 39.996478),7508,8311,24,1,2019-02-22T11:42:00Z,2019-02-22,11:42:00,11,201924015799,1800 BLOCK E ALLEGHENY AVE,400,Aggravated Assault No Firearm,-75.11335593,39.99647784
44,POINT (-75.22792699999999 39.934178),7730,8379,12,3,2019-09-09T10:02:00Z,2019-09-09,10:02:00,10,201912078350,5800 BLOCK KINGSESSING AVE,400,Aggravated Assault No Firearm,-75.227927,39.93417766
45,POINT (-75.21548900000001 39.931923),8201,7279,12,3,2019-04-02T03:16:00Z,2019-04-02,03:16:00,3,201912025096,5400 BLOCK HARLEY TER,400,Aggravated Assault No Firearm,-75.21548891,39.93192297
46,POINT (-75.16390800000001 40.041671),8406,7614,14,2,2019-02-02T03:14:00Z,2019-02-02,03:14:00,3,201914010504,600 BLOCK CHURCH LN,400,Aggravated Assault No Firearm,-75.16390838,40.04167097
47,POINT (-75.121539 40.025168),8421,7733,25,2,2019-04-18T19:00:00Z,2019-04-18,19:00:00,19,201925030290,200 BLOCK E RUSCOMB ST,400,Aggravated Assault Firearm,-75.12153943,40.02516834
48,POINT (-75.216397 39.972807),8495,6918,19,3,2019-06-01T08:48:00Z,2019-06-01,08:48:00,8,201919046711,4700 BLOCK W GIRARD AVE,400,Aggravated Assault No Firearm,-75.21639708,39.97280664
49,POINT (-75.230178 39.920131),8511,7639,12,3,2019-01-01T03:51:00Z,2019-01-01,03:51:00,3,201912000067,6600 BLOCK BUIST AVE,400,Aggravated Assault No Firearm,-75.23017825,39.92013146
50,POINT (-75.216397 39.972807),8574,6919,19,3,2019-06-04T08:39:00Z,2019-06-04,08:39:00,8,201919047684,4700 BLOCK W GIRARD AVE,400,Aggravated Assault No Firearm,-75.21639708,39.97280664
51,POINT (-75.113356 39.996478),8672,8224,24,2,2019-10-20T21:40:00Z,2019-10-20,21:40:00,21,201924103711,1800 BLOCK E ALLEGHENY AVE,400,Aggravated Assault No Firearm,-75.11335593,39.99647784
52,POINT (-75.113356 39.996478),8674,8226,24,1,2019-12-05T06:19:00Z,2019-12-05,06:19:00,6,201924118402,1800 BLOCK E ALLEGHENY AVE,400,Aggravated Assault Firearm,-75.11335593,39.99647784
53,POINT (-75.104117 39.999358),8713,7685,24,1,2019-10-16T19:41:00Z,2019-10-16,19:41:00,19,201924102301,1900 BLOCK E ATLANTIC ST,400,Aggravated Assault Firearm,-75.10411704,39.99935804
54,POINT (-75.067341 40.026202),8927,7323,15,2,2019-08-03T20:07:00Z,2019-08-03,20:07:00,20,201915078588,4000 BLOCK COMLY ST,400,Aggravated Assault No Firearm,-75.0673408,40.02620231
55,POINT (-75.182621 40.026462),9081,6639,39,1,2019-08-08T05:32:00Z,2019-08-08,05:32:00,5,201939068370,5500 BLOCK WISSAHICKON AVE,400,Aggravated Assault No Firearm,-75.18262062,40.02646195
56,POINT (-75.205483 39.974271),9146,7386,16,1,2019-06-24T09:41:00Z,2019-06-24,09:41:00,9,201916030265,4000 BLOCK W GIRARD AVE,400,Aggravated Assault No Firearm,-75.20548295,39.97427071
57,POINT (-75.128658 40.036204),9281,6682,35,2,2019-05-09T02:08:00Z,2019-05-09,02:08:00,2,201935040921,N 4TH ST / W OLNEY AV,400,Aggravated Assault Firearm,-75.12865781,40.03620382
58,POINT (-75.187033 40.040367),9291,6692,14,3,2019-09-01T19:17:00Z,2019-09-01,19:17:00,19,201914081734,6300 BLOCK GREENE ST,400,Aggravated Assault No Firearm,-75.18703284,40.04036682
59,POINT (-75.177305 39.995248),9742,7221,22,2,2019-12-16T14:45:00Z,2019-12-16,14:45:00,14,201922110402,N 28TH ST / W HUNTINGDON ST,400,Aggravated Assault No Firearm,-75.17730508,39.99524819
60,POINT (-75.23354999999999 39.932163),9891,11797,12,2,2019-04-20T00:19:00Z,2019-04-20,00:19:00,0,201912030354,1900 BLOCK S 61ST ST,400,Aggravated Assault Firearm,-75.23355038,39.93216328
61,POINT (-75.111248 39.997369),10379,12735,24,1,2019-01-31T01:22:00Z,2019-01-31,01:22:00,1,201924008806,3200 BLOCK KENSINGTON AVE,400,Aggravated Assault No Firearm,-75.11124849,39.99736875
62,POINT (-75.166585 39.996331),10867,12458,39,3,2019-06-06T17:39:00Z,2019-06-06,17:39:00,17,201939047112,2100 BLOCK W LEHIGH AVE,400,Aggravated Assault No Firearm,-75.16658466,39.99633144
63,POINT (-75.166585 39.996331),10870,12461,39,3,2019-07-09T17:00:00Z,2019-07-09,17:00:00,17,201939057773,2100 BLOCK W LEHIGH AVE,400,Aggravated Assault No Firearm,-75.16658466,39.99633144
64,POINT (-75.13887 39.960485),11393,12583,6,1,2019-03-19T20:22:00Z,2019-03-19,20:22:00,20,201906012577,N FRONT ST / SPRING GARDEN ST,400,Aggravated Assault No Firearm,-75.13887032,39.96048532
65,POINT (-75.12955100000001 39.996944),12037,10993,24,2,2019-03-24T12:48:00Z,2019-03-24,12:48:00,12,201924025057,100 BLOCK E CLEARFIELD ST,400,Aggravated Assault Firearm,-75.12955089,39.99694391
66,POINT (-75.12955100000001 39.996944),12038,10994,24,2,2019-03-24T14:32:00Z,2019-03-24,14:32:00,14,201924025066,100 BLOCK E CLEARFIELD ST,400,Aggravated Assault Firearm,-75.12955089,39.99694391
67,POINT (-75.16857899999999 39.904752),12180,11162,3,3,2019-12-14T20:39:00Z,2019-12-14,20:39:00,20,201903090938,1100 BLOCK PATTISON AVE,400,Aggravated Assault No Firearm,-75.16857935,39.90475219
68,POINT (-75.14495599999999 39.977343),12856,10462,26,2,2019-02-10T11:15:00Z,2019-02-10,11:15:00,11,201926005647,1700 BLOCK N 6TH ST,400,Aggravated Assault No Firearm,-75.14495562,39.97734281
69,POINT (-75.233276 39.917964),13517,16406,12,1,2019-04-23T16:28:00Z,2019-04-23,16:28:00,16,201912031391,6800 BLOCK BUIST AVE,400,Aggravated Assault Firearm,-75.23327619,39.91796406
70,POINT (-75.15128 40.039575),13589,16010,35,3,2019-12-29T12:31:00Z,2019-12-29,12:31:00,12,201935116477,5600 BLOCK OGONTZ AVE,400,Aggravated Assault No Firearm,-75.15128043,40.03957544
