,geometry,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE
0,POINT (-75.16363418916812 40.05386266912196),1,Awbury Park and Recreation Center,604,PPR_REC,B,Y,N,8, ,Programs 9/2021
1,POINT (-75.00751074836772 40.12284317236078),2,Daniel Boyle Memorial Recreation Center,1843,PPR_REC,B,Y,N,13, ,Programs 9/2021
2,POINT (-75.1698319055514 40.06468648114663),3,Charles M Finley Playground,1989,PPR_REC,A,Y,Y,40, ,Programs 9/2021
3,POINT (-75.17476353786878 40.00222122580663),4,James Allen Shuler Playground,1878,PPR_REC,B,Y,N,126, ,Programs 9/2021
4,POINT (-75.17151936261655 39.94211853113725),5,Marian Anderson Recreation Center,1901,PPR_REC,A,Y,Y,6, ,Programs 9/2021
5,POINT (-75.23856600657498 39.95669258417138),6,Howard Sayre Morris Recreation Center,1949,PPR_REC,B,Y,N,119, ,Programs 9/2021
6,POINT (-75.14849567282069 39.93069601918846),7,Nelson M Herron Playground and Recreation Center,2898,PPR_REC,C,Y,N,58, ,Programs 9/2021
7,POINT (-75.15744514141448 39.92298857603787),8,James Otis Ford Playground,958,NON_PPR_REC,NA,Y,Y,43,PAL Programs and Staffs,Programs 9/2021
8,POINT (-75.1012962526123 39.98646601084064),9,Frank Glavin Playground,1860,PPR_REC,B,Y,N,49, ,Programs 9/2021
9,POINT (-75.18509125335973 39.96905476681111),10,Lloyd Hall Recreation Center,997,PPR_REC,B,Y,Y,76,Located in East Fairmount Park,Programs 9/2021
10,POINT (-75.23324250722131 39.99521824851316),11,John C Anderson Cultural Center,3479,PPR_REC,B,Y,N,69, ,Programs 9/2021
11,POINT (-75.24861700146883 39.90816102668465),12,William A Cibotti Recreation Center,498,PPR_REC,B,Y,N,23, ,Programs 9/2021
12,POINT (-75.23174319491167 39.91527260037971),13,J Francis Finnegan Playground,95,PPR_REC,B,Y,N,66, ,Programs 9/2021
13,POINT (-75.17875813270523 39.91593800013305),14,Commodore John Barry Playground,262,PPR_REC,B,Y,N,11, ,Programs 9/2021
14,POINT (-75.15406983116321 39.91564173827433),15,Lawrence E Murphy Recreation Center,1919,PPR_REC,A,Y,Y,97, ,Programs 9/2021
