,geometry,cartodb_id,objectid,permitnumber,addressobjectid,parcel_id_num,permittype,permitdescription,commercialorresidential,typeofwork,approvedscopeofwork,permitissuedate,status,applicanttype,contractorname,contractoraddress1,contractoraddress2,contractorcity,contractorstate,contractorzip,mostrecentinsp,opa_account_num,address,unit_type,unit_num,zip,censustract,council_district,opa_owner,systemofrecord,geocode_x,geocode_y,posse_jobid
0,POINT (-75.20335300000001 39.96671),4947,4518,942053,768667,,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"THIS APPLICATION IS FOR A PROPOSED (4) STORY SINGLE FAMILY DWELLING ON AN EXISTING VACANT LOT. THE PROPOSED CONSTRUCTION ALSO FEATURES AN OPEN ACCESSORY GARAGE FOR (1) BEHICLE DRIVEWAY, ROOF DECKS(S). AND ASSOCIATED PILOT HOUSE",2019-06-24T10:12:51Z,EXPIRED,DESIGN PROFESSIONAL,GRAHAM BUILDERS CONSTRUCTION,1528 GILLINGHAM ST,,PHILADELPHIA,PA,19124-    ,2020-02-07T13:42:00Z,061168802,736 N 40TH ST,,,19104-1636,107,3,ROBINSON FARRAH,HANSEN,2682220.11555999,241022.14744852,
1,POINT (-75.18559399999999 39.934126),5197,4461,929100,566192,429624,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A NEW, THREE (3) STORY ATTACHED STRUCTURE WITH A ROOF DECK ACCESSED BY A PILOT HOUSE (TO ENCLOSE ACCESS STAIRS ONLY), TO BE USED AS GROUP R-3 (SINGLE-FAMILY DWELLING), AS PER PLANS; SEPARATE PERMITS REQUIRED FOR ALL MEP/FSP WORK; BUILDING TO BE FULLY SPRINKLERED THROUGHOUT IN ACCORDANCE WITH NFPA 13D MINIMUM OR BETTER; SEE AP#929097 FOR ZONING APPROVAL.",2019-01-30T10:34:01Z,COMPLETED,DESIGN PROFESSIONAL,S & J CONCEPTS LLC,2807 S HUTCHINSON STREET,,PHILADELPHIA,PA,19148-    ,2020-03-03T09:16:00Z,364187605,1450 S TAYLOR ST,,,19146-4010,32,2,PB VENTURES LLC,HANSEN,2687540.59856973,229301.31456841,
2,POINT (-75.19421699999999 39.937845),5234,4598,956235,573751,269552,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,(2) NEW CONSTRUCTION OF 3-STORY SINGLE FAMILY DWELLING WITH ROOF DECK WITH PILOT HOUSE.,2019-04-05T16:30:28Z,COMPLETED,,OWL CONSTRUCTION SERVICES LLC,4208 DISSTON ST,,PHILADELPHIA,PA,19135-    ,2020-02-09T20:47:00Z,362210100,3022 TITAN ST,,,19146-3611,33,2,IRA DEVELOPMENT LLC,HANSEN,2685084.01867934,230585.53094034,
3,POINT (-75.125136 39.988837),9723,10293,961559,453919,432132,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,ERECTION OF A SINGLE FAMILY DWELLING WITH A ROOF DECK ACESSED BY A PILOT HOUSE.,2019-04-04T15:33:40Z,COMPLETED,CONTRACTOR,VRTX INVESTMENTS INC,301 W BYBERRY RD,APT 18,PHILA,PA,19116-    ,2020-03-02T09:17:00Z,314234000,1843 E OAKDALE ST,,,19125-1115,161,1,DEFA ENTERPRISE INC,HANSEN,2703895.09338391,249721.00199891,
4,POINT (-75.131918 39.977478),9985,10358,974107,40185,47996,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE CONSTRUCTION OF A FOUR (4) STORY ATTACHED STRUCTURE WITH ROOF DECK AND ROOF DECK ACCESS STRUCTURE. FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING WITH ONE (1) PARKING SPACE WITHIN GARAGE. SIZE AND LOCATION AS PER PLANS,2019-05-22T10:28:56Z,COMPLETED,DESIGN PROFESSIONAL,AGIM NOVRUZAJ,2435 E ALLEGHENY AVE,,PHILADELPHIA,PA,19134-    ,2019-12-10T08:13:00Z,183052900,1831 BLAIR ST,,,19125-2401,157,7,NOVRUZAJ AGIM            NOVRUZAJ ALIME,HANSEN,2702118.47916699,245528.20426965,
5,POINT (-75.127737 39.980344),15058,15804,921285,319068,481731,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR NEW CONSTRUCTION (IRC 2009) OF A THREE-STORY ATTACHED STRUCTURE WITH ROOF ACCESS STRUCTURE AND ROOF DECK PER APPROVED PLANS.  BUILDING TO BE FULLY SPRINKLERED WITH NFPA 13D MINIMUM.  SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION.  SEE PARENT APPLICATION 915071.",2019-02-05T14:45:34Z,COMPLETED,CONTRACTOR,WOOD SCOTT CONSTRUCTION & PROP,337 N SALFORD ST,WOOD SCOTT CONSTRUCTION AND PROPERTY,PHILADELPHIA,PA,19139-    ,2019-08-28T08:46:00Z,313119100,2166 E GORDON ST,,,19125-2012,160,1,FISHTOWN REALTY LLC,HANSEN,2703258.53993192,246606.72428119,
6,POINT (-75.151847 39.983182),15213,15687,895923,651851,29013,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE NEW CONSTRUCTION OF A THREE STORY STRUCTURE TO BE USED AS A SINGLE-FAMILY DWELLING, AS PART OF A TOTAL OF FIFTY (50) DWELLING UNITS WITH A COMMUNITY CENTER ON THE LOT, AS PER APPROVED PLANS. SEE APP# 857960 FOR APPROVED PLANS.",2019-11-14T14:39:32Z,COMPLETED,DESIGN PROFESSIONAL,SHOEMAKER SYNTERRA,ONE TOWER BRIDGE,SUITE 365,W CONSHOHOCKEN,PA,19428-    ,2019-10-18T12:19:00Z,886761138,2000 N 11TH ST,,,19122-0000,377,5,PHILADELPHIA HOUSING AUTH,HANSEN,2696474.45698897,247440.24218428,
7,POINT (-75.18561099999999 39.934047),16381,15930,945327,566196,214065,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A NEW, THREE (3) STORY ATTACHED STRUCTURE WITH A ROOF DECK ACCESSED BY A PILOT HOUSE (TO ENCLOSE ACCESS STAIRS ONLY), TO BE USED AS GROUP R-3 (SINGLE-FAMILY DWELLING), AS PER PLANS; SEPARATE PERMITS REQUIRED FOR ALL MEP/FSP WORK; BUILDING TO BE FULLY SPRINKLERED THROUGHOUT IN ACCORDANCE WITH NFPA 13D MINIMUM OR BETTER; SEE AP#937249 FOR ZONING APPROVAL; SEE AP#929100 FOR PLANS.",2019-01-30T10:34:41Z,COMPLETED,DESIGN PROFESSIONAL,S & J CONCEPTS LLC,2807 S HUTCHINSON STREET,,PHILADELPHIA,PA,19148-    ,2019-12-12T14:22:00Z,364187800,1454 S TAYLOR ST,,,19146-4010,32,2,PB VENTURES LLC,HANSEN,2687536.66512099,229272.59544312,
8,POINT (-75.16791499999999 39.944133),21253,21741,979468,543415,4095,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,NEW CONSTRUCTION OF TWO (2) TEMPORARY (SUMMER ONLY) ONE-STORY STRUCTURES (PAVILION AND ACCESSORY SHED) FOR AN OUTDOOR EATING AND DRINKING ESTABLISHMENT AS PER APPROVED PLANS. BUILDINGS NOT REQUIRED TO BE SPRINKLERED.,2019-06-13T15:29:27Z,COMPLETED,APPL,LUCKY DOG RENOVATIONS,3132 E. THOMPSON ST,1B,PHILA,PA,19134-    ,2019-07-12T11:57:00Z,303063700,1523 SOUTH ST,,,19146-1635,12.02,2,GAMBLE KENNETH,HANSEN,2692389.4098713,233089.52434696,
9,POINT (-75.16339499999999 39.967536),22065,21466,928428,660179,27256,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE ERECTION OF A FOUR (4) STORY STRUCTURE WITH ROOF DECK AND ROOF DECK ACCESS STRUCTURE; FOR USE AS A FOUR (4) FAMILY DWELLING. BUILDING TO BE SPRINKLERED PER NFPA 13. UNDERPINNING TO BE INSPECTED CONTINUOUSLY. SEPARATE PERMIT FOR ANY MEP AND FIRE SUPPRESSION WORK.,2019-01-08T15:17:37Z,COMPLETED,DESIGN PROFESSIONAL,TESTER CONSTRUCTION GROUP LLC,1541 RIDGE AVE,,PHILADELPHIA,PA,19130-    ,2019-10-24T15:52:00Z,885140920,711 N 16TH ST,,,19130-2902,133,5,SDG 711 N 16TH STREET LLC,HANSEN,2693406.71740002,241648.4497193,
