element_type,osmid,addr:city,name,network,operator,platforms,public_transport,railway,station,subway,wheelchair,wikidata,wikipedia,geometry,addr:postcode,operator_1,addr:housenumber,addr:street,railway:position,internet_access,old_name,addr:state,short_name,elevator,tram
node,469917297,Philadelphia,15th-16th & Locust,PATCO,PATCO,1,station,station,subway,yes,yes,Q4551078,en:15–16th & Locust (PATCO station),POINT (-8367552.609735958 4858465.746583534),,,,,,,,,,,
node,469917298,Philadelphia,9th-10th & Locust,PATCO,PATCO,1,station,station,subway,yes,yes,Q4646737,en:9–10th & Locust (PATCO station),POINT (-8366424.041606346 4858281.682779776),,,,,,,,,,,
node,471026103,Philadelphia,12th-13th & Locust,PATCO,PATCO,1,station,station,subway,yes,no,Q4548965,en:12–13th & Locust (PATCO station),POINT (-8366949.703373821 4858366.816947303),19107,,,,,,,,,,
node,650938316,,63rd Street,SEPTA,SEPTA,,station,station,subway,yes,,,,POINT (-8376424.717492435 4860524.238024053),,,,,,,,,,,
node,650959043,,56th Street,SEPTA,SEPTA,,station,station,subway,yes,,Q4640769,,POINT (-8374883.844232826 4860274.79492691),,,,,,,,,,,
node,650960111,,46th Street,,SEPTA,,station,station,subway,yes,yes,,,POINT (-8372784.826178324 4859935.838305315),,SEPTA,,,,,,,,,
node,775915931,Philadelphia,Lombard-South,SEPTA,SEPTA,1,station,station,subway,yes,no,Q6669414,en:Lombard–South station,POINT (-8367373.50780722 4857829.683828264),,,500,South Broad Street,mi:7.40,,,,,,
node,775915932,,Ellsworth-Federal,SEPTA,SEPTA,1,station,station,subway,yes,no,Q11681426,en:Ellsworth–Federal station,POINT (-8367565.010727232 4856679.777603259),,,1200,South Broad Street,mi:7.95,,,,,,
node,775915933,Philadelphia,Tasker-Morris,SEPTA,SEPTA,1,station,station,subway,yes,no,Q7687362,en:Tasker–Morris station,POINT (-8367718.219742411 4855760.267804636),,,,,mi:8.40,,,,,,
node,775915935,Philadelphia,Snyder,SEPTA,SEPTA,1,station,station,subway,yes,,Q7548885,en:Snyder station,POINT (-8367839.557987375 4854864.750126043),,,,,mi:8.78,,,,,,
node,775915939,Philadelphia,NRG,SEPTA,SEPTA,2,station,station,subway,yes,,Q4654508,en:NRG station,POINT (-8368232.627109367 4852290.638759291),,,3600,South Broad Street,,no,Pattison,,,,
node,775922743,Philadelphia,Olney Transportation Center,,SEPTA,2,station,station,subway,yes,yes,Q7088461,en:Olney Transportation Center,POINT (-8365074.615607002 4871581.654744033),,,5600,North Broad Street,mi:0.76,,,PA,Olney T.C.,,
node,775922744,Philadelphia,Logan,SEPTA,SEPTA,,station,station,subway,yes,,Q6666919,en:Logan station,POINT (-8365293.013315989 4870275.496973844),,,5100,North Broad Street,mi:1.38,,,PA,,,
node,775922745,Philadelphia,Wyoming,SEPTA,SEPTA,2,station,station,subway,yes,,Q5859777,en:Wyoming station (SEPTA),POINT (-8365420.874883113 4869513.585635962),,,4700,North Broad Street,mi:1.75,,,PA,,,
node,775922746,,Hunting Park,SEPTA,SEPTA,2,station,station,subway,yes,,Q389072,en:Hunting Park station,POINT (-8365591.616718093 4868497.068121023),,,4200,North Broad Street,mi:2.20,,,,,,
node,775922747,Philadelphia,Erie,SEPTA,SEPTA,,station,station,subway,yes,,Q2885954,en:Erie station (SEPTA),POINT (-8365794.240455233 4867285.290923098),19140,,3700,North Broad Street,mi:2.82,,,PA,,,
node,775922748,,Allegheny,,septa,,station,station,subway,yes,,,,POINT (-8365979.787782488 4866173.656365639),,,,,mi:3.34,,,,,,
