,geometry,OBJECTID,NAME,ADDRESS,BUILDING_DESCRIPTION,PARCEL_ID,BRT_ID,TENCODE_ID,GROSS_AREA,Shape__Area,Shape__Length
0,"POLYGON ((-75.1673961023177 40.0067056459818, -75.1673197718499 40.0066448025509, -75.1677692219626 40.0071258209976, -75.1678317143017 40.0071935123267, -75.16801663337451 40.0073987973172, -75.16824952530391 40.007654568764, -75.1683188421114 40.0077324388476, -75.16857218633839 40.0080093991066, -75.1686716273671 40.0081181068087, -75.16916339201561 40.0086484614277, -75.1691805284363 40.008666948897, -75.1692190164227 40.0086492928332, -75.1692275506981 40.0086453895667, -75.1692907234884 40.0086164075958, -75.1693332002788 40.0085969228982, -75.1694356487864 40.0085499312258, -75.1694549363704 40.0085410798065, -75.1695448393522 40.0084998509555, -75.16984511671249 40.008411912095, -75.1701604174886 40.0083285493187, -75.16992815622859 40.0080697489142, -75.1698872567413 40.0080251135304, -75.1698702293134 40.0080065322079, -75.1696884566115 40.0078081705865, -75.1696506966672 40.007766425843, -75.1696373981665 40.0077517161507, -75.1685948137615 40.0065988936692, -75.16844982811401 40.0064483899636, -75.16831302609241 40.0065203780832, -75.1683846299747 40.0065980662225, -75.16770379275241 40.0069781805922, -75.1676508912728 40.0069219387528, -75.16761190836201 40.0068843600096, -75.1675841192079 40.006854802482, -75.1675167923909 40.0068022537191, -75.1674477299233 40.0067495334222, -75.1673961023177 40.0067056459818))",1,Temple University,2450 W HUNTING PARK AVE,OFF/BLD N/COMM W-PKG MASO,155059,883380850,4404002450,231347,231347.864562988,2519.96786248067
1,"POLYGON ((-75.16527271249571 39.9531207973655, -75.1665972085657 39.9532830323536, -75.1666762382583 39.9529146802671, -75.16535175151751 39.9527524462425, -75.16527271249571 39.9531207973655), (-75.1653200782462 39.9530110909676, -75.1653553080257 39.952862694501, -75.1653632105059 39.9528592180297, -75.16537031152031 39.9528548359995, -75.1653764349729 39.9528496534658, -75.1653814366649 39.9528437987285, -75.16538518698729 39.952837416634, -75.1653875981343 39.9528306610797, -75.1653886087246 39.952823699173, -75.1653881982494 39.9528167007438, -75.16539997660919 39.9527936000693, -75.165534867372 39.9528086208583, -75.1654972864102 39.9529779355459, -75.1655050868149 39.95297751211, -75.1654959693541 39.9530330282269, -75.1653200782462 39.9530110909676))",2,Temple University,1501-39 MARKET ST,OFF/BLDG COMM NO GAR MASO,392760,883337500,5356001501,47425,47426.0151977539,1281.72506943498
2,"POLYGON ((-75.1529421776746 39.9545196580519, -75.15371445308971 39.9546157553321, -75.1537992539496 39.9542569594827, -75.1537996796624 39.9542551634742, -75.1537961553079 39.9542552945523, -75.1535028986748 39.9542188994444, -75.15344215065041 39.9542113660006, -75.1530204748138 39.954159038654, -75.1529421776746 39.9545196580519))",3,Temple University Medical,801 CHERRY ST,APTS 51-100UNTS MASONRY,13161,771524500,2274000801,29301,29348.3869628906,707.277623675852
3,"POLYGON ((-75.1528957006078 39.9547343865673, -75.1528516439367 39.9549378872967, -75.1528512863176 39.9549395550971, -75.15350148644271 39.9550204775063, -75.1536090153943 39.9550338568026, -75.153615923712 39.9550345132215, -75.1536167746408 39.9550308734401, -75.15371445308971 39.9546157553321, -75.1529421776746 39.9545196580519, -75.1529396868963 39.9545311275079, -75.1528957006078 39.9547343865673))",4,Temple University Medical,800-20 RACE ST,SCHOOL 7STY MASONRY,324604,771524000,6712000800,34030,33840.2145385742,746.550259295613
4,"POLYGON ((-75.1273582479818 39.989296892669, -75.1278882369303 39.989365082485, -75.12797361938971 39.9889557316498, -75.1278970286816 39.9889458087166, -75.12783109080721 39.9889372743118, -75.1274461940863 39.9888874538665, -75.1273582479818 39.989296892669))",5,Temple University Medical,191-99 E HUNTINGDON ST,HSE WORSHIP ALL3STY MASON,18474,777204000,4406000191,22500,22697.6785888672,602.634106101501
5,"POLYGON ((-75.1308322524627 39.9907132626566, -75.1308362769831 39.9907137905894, -75.1310328688725 39.9897864585876, -75.1310413228472 39.9897465774839, -75.1310758797384 39.9895835703896, -75.1311229120478 39.9893617199545, -75.13111590684881 39.9893607861346, -75.1306638227238 39.9893010468777, -75.1306620067737 39.989300811715, -75.13036371678911 39.9892613922644, -75.1303313988499 39.9892571253231, -75.1301854848204 39.9892378521232, -75.12996365514751 39.9892085437579, -75.1298277097562 39.9891905770845, -75.12939535051279 39.9891334428286, -75.12918537028121 39.9891071930701, -75.12797361938971 39.9889557316498, -75.1278882369303 39.989365082485, -75.1273582479818 39.989296892669, -75.1273293158924 39.9894420852335, -75.1271697289493 39.9902429245837, -75.12908599002169 39.9904842818934, -75.1291085982097 39.9904871344995, -75.12989940240131 39.9905908840348, -75.1299122681646 39.9905925797225, -75.1308322524627 39.9907132626566))",6,Temple University Medical,100 E LEHIGH AVE,HEALTH FAC. HOSP MAS+OTHE,272372,777012000,4998000100,506603,498503.437927246,3085.63834291667
6,"POLYGON ((-75.1642479848351 39.9459756705, -75.16477633809311 39.9460402839054, -75.1648261455021 39.9457989934375, -75.1642977940723 39.9457343802612, -75.1642479848351 39.9459756705))",7,University of the Arts,329-35 S BROAD ST,SCHOOL 9STY MASONRY,208422,771500000,1916000329,13350,13349.9879150391,477.999406723598
7,"POLYGON ((-75.1651562863066 39.9462097014386, -75.16564805315871 39.9462720590864, -75.165864147455 39.9462990763733, -75.16589486164661 39.9461566644572, -75.165853333806 39.94615043993, -75.1658689196255 39.9460821309381, -75.1659093187491 39.9460874677601, -75.1659388330624 39.9459571177358, -75.16583116765599 39.9459436502389, -75.16582982302 39.9459465329302, -75.1657628165798 39.9459376935547, -75.1657692168623 39.9459016664629, -75.1658002462962 39.945905861481, -75.1658078233186 39.9458709042752, -75.16584836410991 39.9458762371053, -75.1658474537376 39.9458788745927, -75.1659134379375 39.9458876278194, -75.1659143075871 39.9458852299853, -75.1659522671403 39.9458905019243, -75.1659801000301 39.9457540321558, -75.1659668247285 39.9457524122024, -75.1659596941798 39.9457515577835, -75.1659453090349 39.945749847952, -75.1659368924295 39.9457486428966, -75.1659238111732 39.9457467840353, -75.1659058144089 39.9457442188624, -75.1658989721294 39.9457440647163, -75.1658739407013 39.9457403093943, -75.165867823719 39.9457397679312, -75.1658580976255 39.9457389208057, -75.1658335890276 39.9457352078882, -75.1658216393328 39.9457344070725, -75.16581229153201 39.9457329395566, -75.16580429790589 39.9457316629293, -75.16579359497111 39.9457305838539, -75.1657843725927 39.9457296660781, -75.1657518394304 39.9457249362103, -75.1657382051294 39.9457232757054, -75.1657209246747 39.945721144713, -75.1657128724719 39.9457202695137, -75.1657056358877 39.9457194946825, -75.1656995243865 39.9457188091711, -75.1656949446313 39.9457181086144, -75.16568701413441 39.9457168343022, -75.1656801357062 39.9457159377924, -75.1656692350259 39.9457145794401, -75.1656550201989 39.9457127932187, -75.1656469102878 39.9457118040876, -75.16564077034489 39.9457113431864, -75.1656327192168 39.9457105013433, -75.16562303516039 39.9457090415528, -75.1656165785049 39.9457080743516, -75.1656107449476 39.9457073140065, -75.1655930049033 39.945705140203, -75.16558574982589 39.9457042361021, -75.16557832986641 39.9457033273847, -75.16556724155519 39.9457018855057, -75.1655610085426 39.945701132376, -75.1655547544768 39.9457003787717, -75.1655473748386 39.945699487179, -75.1655350736675 39.9456980170682, -75.1655134546248 39.9456954008515, -75.165497027138 39.9456934350087, -75.16547980560109 39.945691355764, -75.1654630021781 39.9456893327907, -75.165457811697 39.945688715773, -75.16545293412059 39.9456880895874, -75.1654489162775 39.9456874503368, -75.1654437554098 39.9456866087317, -75.16543786245251 39.9456856866585, -75.1654293782985 39.9456846575435, -75.1654217032402 39.945683807941, -75.1654138175588 39.9456830175642, -75.16540588921799 39.9456822100073, -75.16539834171191 39.9456813308408, -75.1653918795206 39.9456805401012, -75.1653868606052 39.9456797827836, -75.1653818026366 39.9456789750299, -75.1653765563882 39.9456781314979, -75.16537184055601 39.9456776540169, -75.16536175836011 39.9456767826066, -75.1653524801001 39.9456757031556, -75.1653426214715 39.945674432225, -75.1653192373952 39.9456714401202, -75.1653119005489 39.9456705008217, -75.1653014390436 39.9456691685487, -75.165295686197 39.9456684100061, -75.1652880810131 39.9456673853699, -75.1652828316561 39.9456666543906, -75.1652786862354 39.9456660762313, -75.165274186415 39.9456654594513, -75.16527272769351 39.945671310216, -75.1652712111421 39.9456781273689, -75.16526768162279 39.9456944102881, -75.1652540231691 39.9457572754537, -75.1652510254531 39.9457710871557, -75.1652473705886 39.9457912190941, -75.1652387304577 39.945828389536, -75.16523730277549 39.9458345320281, -75.165236367188 39.9458398629813, -75.1652349068932 39.9458479707557, -75.16523390023571 39.9458535082422, -75.1652323742026 39.9458600512722, -75.1652306545803 39.9458672828212, -75.16522547358571 39.9458889436319, -75.1652241949237 39.9458944921082, -75.1652238505953 39.9458991435036, -75.1652232895904 39.9459022898244, -75.1652146373919 39.9459420233841, -75.1651737886427 39.9461294963481, -75.1651562863066 39.9462097014386))",8,University of the Arts,320 S BROAD ST,SCHOOL 2STY MAS.+OTHER,542656,772508001,1916000320,38640,39003.8368530273,931.258573019422
8,"POLYGON ((-75.16368251489079 39.9463990309785, -75.16369420427441 39.9464005839005, -75.16370227660219 39.9463629160052, -75.1637032392605 39.9463585380465, -75.16371025381009 39.9463277778214, -75.1637184956013 39.9462911625296, -75.1637217228225 39.9462757278979, -75.1637442895419 39.94616757231, -75.1637544607629 39.9461215380431, -75.1635946174724 39.9461001532688, -75.16347178385089 39.946084762049, -75.16345634864879 39.9460825596985, -75.16342456200179 39.946078022604, -75.1634007955504 39.9460746178315, -75.163343282223 39.9460669687129, -75.1628716776014 39.9460042827902, -75.1628628605466 39.946052153173, -75.1628566970093 39.9460803529376, -75.1628498217984 39.9461118406792, -75.1628393440119 39.9461598844408, -75.163308965318 39.9462218977383, -75.163367459478 39.9462296158422, -75.16336459196491 39.9462449783868, -75.16341396267769 39.9462513626554, -75.1634636311958 39.9462576734274, -75.163511655639 39.9462637209501, -75.1635645290019 39.9462710869536, -75.16356890606561 39.9462716694966, -75.1635609357272 39.9463071790458, -75.1635528014271 39.9463431516241, -75.1635444848812 39.9463806211863, -75.16354973667779 39.9463813198628, -75.16368251489079 39.9463990309785))",9,University of the Arts,311 S JUNIPER ST,APTS 51-100UNTS MASONRY,88046,772508070,4646000311,16648,16634.0606689453,708.510339503105
9,"POLYGON ((-75.16229816948091 39.9466118637988, -75.1625525020924 39.9466472284042, -75.1625554604116 39.9466338519632, -75.16262319991409 39.9463267339138, -75.1623702597133 39.9462927694951, -75.16221411065369 39.9462711760079, -75.1621442523174 39.9465904494289, -75.16214975308441 39.9465912195607, -75.16229816948091 39.9466118637988))",10,University of the Arts,1224-34 SPRUCE ST,APTS DORMITORY MASONRY,139329,772508050,7396001224,13567,13747.5612792969,469.156806205965
